epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,37344.1,0.62313,2.52501,0.16175,0.79527,1.08454,0.86598,0.61383,0.70827,0.6012,0.93182,0.61761,0.64357,0.58639,0.50707,2.56968,0.13547,0.62341,1.00913,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,39312.2,0.60483,2.48372,0.15764,0.78935,1.07666,0.87558,0.61212,0.71595,0.60659,0.91498,0.61531,0.63989,0.58014,0.4953,2.58808,0.13052,0.62129,1.00546,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,41352.2,0.60172,2.42589,0.15472,0.77586,1.07659,0.86158,0.62436,0.71281,0.60326,0.91264,0.61828,0.64049,0.58468,0.49688,2.57951,0.13171,0.6183,1.00541,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,43446.6,0.59114,2.44101,0.1559,0.77345,1.0677,0.88387,0.61588,0.71928,0.60991,0.92068,0.61862,0.64067,0.58684,0.48895,2.54014,0.1292,0.60153,1.00098,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,45491.6,0.57771,2.38621,0.15123,0.75486,1.05861,0.88248,0.62211,0.72179,0.61175,0.92691,0.61653,0.645,0.59245,0.48575,2.51706,0.1281,0.59912,0.99786,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,47284.7,0.58224,2.40943,0.15183,0.76406,1.06111,0.88251,0.6217,0.71779,0.61211,0.92676,0.61999,0.64327,0.59123,0.48264,2.50326,0.12599,0.592,0.99911,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,49614.8,0.58172,2.37391,0.1508,0.76405,1.06145,0.878,0.62958,0.72329,0.6169,0.92229,0.62034,0.64038,0.59168,0.48278,2.50485,0.12452,0.58605,0.99687,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,51675.1,0.56945,2.3334,0.1461,0.74144,1.05814,0.87194,0.63172,0.72919,0.61972,0.92903,0.62068,0.64384,0.59482,0.47666,2.47086,0.12249,0.57955,0.99274,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,53829.2,0.56481,2.29695,0.14619,0.73463,1.05476,0.89109,0.62463,0.72785,0.61908,0.92738,0.62102,0.64564,0.59414,0.46757,2.45575,0.12237,0.57643,0.98943,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,56073.8,0.5622,2.28104,0.14574,0.73518,1.05305,0.87966,0.62992,0.72886,0.6215,0.92658,0.62136,0.64455,0.59357,0.46296,2.44815,0.12146,0.57656,0.98486,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,58068,0.55335,2.25536,0.1425,0.72483,1.04412,0.86539,0.63471,0.73279,0.62266,0.92511,0.61965,0.64373,0.59344,0.46618,2.44164,0.12073,0.5685,0.98718,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,60254,0.5523,2.23173,0.1409,0.71708,1.04533,0.89524,0.62307,0.73245,0.62193,0.92068,0.62684,0.64871,0.59728,0.46172,2.42046,0.12114,0.56361,0.9833,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,62129.3,0.54623,2.22478,0.14161,0.7201,1.04309,0.89992,0.62581,0.7335,0.62528,0.93791,0.62205,0.6477,0.59732,0.46064,2.39136,0.11936,0.56286,0.98219,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,64441.8,0.54067,2.13271,0.13759,0.71404,1.04111,0.90211,0.62684,0.73473,0.62459,0.93167,0.6241,0.64835,0.5991,0.45633,2.3787,0.11865,0.56029,0.98071,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
